,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2381,2000-540,Wimbledon,Grass,128,G,20000626,125,101948,1,,Pete Sampras,R,185,USA,28.8,103166,,Q,Vladimir Voltchkov,R,180,BLR,22.2,7-6(4) 6-2 6-4,5,SF,99,12,6,76,44,41,23,15,0,0,9,6,95,58,42,19,15,4,7,3,3261,237,140
2382,2000-540,Wimbledon,Grass,128,G,20000626,126,102158,12,,Patrick Rafter,R,185,AUS,27.4,101736,2,,Andre Agassi,R,180,USA,30.1,7-5 4-6 7-5 4-6 6-3,5,SF,198,14,7,167,103,71,38,27,5,9,6,7,152,96,67,32,26,7,12,21,1165,1,4375
2383,2000-540,Wimbledon,Grass,128,G,20000626,127,101948,1,,Pete Sampras,R,185,USA,28.8,102158,12,,Patrick Rafter,R,185,AUS,27.4,6-7(10) 7-6(5) 6-4 6-2,5,F,178,24,12,132,84,74,27,21,2,2,10,7,167,97,73,34,21,11,14,3,3261,21,1165
2412,2001-540,Wimbledon,Grass,128,G,20010625,125,101964,,WC,Goran Ivanisevic,L,193,CRO,29.7,102450,6,,Tim Henman,R,185,GBR,26.8,7-5 6-7(6) 0-6 7-6(5) 6-3,5,SF,182,35,12,172,107,86,29,26,6,9,7,7,154,97,75,36,25,4,6,125,321,11,1995
2413,2001-540,Wimbledon,Grass,128,G,20010625,126,102158,3,,Patrick Rafter,R,185,AUS,28.4,101736,2,,Andre Agassi,R,180,USA,31.1,2-6 6-3 3-6 6-2 8-6,5,SF,180,30,9,161,98,74,29,24,11,15,6,1,132,85,55,32,24,4,9,10,2120,2,3795
2414,2001-540,Wimbledon,Grass,128,G,20010625,127,101964,,WC,Goran Ivanisevic,L,193,CRO,29.7,102158,3,,Patrick Rafter,R,185,AUS,28.4,6-3 3-6 6-3 2-6 9-7,5,F,182,27,15,164,91,74,37,26,3,6,13,4,139,88,68,29,25,3,6,125,321,10,2120
2334,2002-540,Wimbledon,Grass,128,G,20020624,125,103720,1,,Lleyton Hewitt,R,180,AUS,21.3,102450,4,,Tim Henman,R,185,GBR,27.7,7-5 6-1 7-5,5,SF,139,4,2,90,49,36,27,16,3,5,2,1,93,60,40,12,15,9,15,1,4260,5,2605
2335,2002-540,Wimbledon,Grass,128,G,20020624,126,103900,28,,David Nalbandian,R,180,ARG,20.4,103598,27,,Xavier Malisse,R,185,BEL,21.9,7-6(2) 6-4 1-6 2-6 6-2,5,SF,198,1,2,144,85,56,32,22,11,17,25,7,168,84,59,35,23,13,18,32,1084,35,985
2336,2002-540,Wimbledon,Grass,128,G,20020624,127,103720,1,,Lleyton Hewitt,R,180,AUS,21.3,103900,28,,David Nalbandian,R,180,ARG,20.4,6-1 6-3 6-2,5,F,116,5,2,79,42,33,18,12,8,10,2,7,89,51,27,12,12,12,20,1,4260,32,1084
2341,2003-540,Wimbledon,Grass,128,G,20030623,125,103819,4,,Roger Federer,R,185,SUI,21.8,104053,5,,Andy Roddick,R,188,USA,20.8,7-6(6) 6-3 6-3,5,SF,103,17,0,84,51,42,25,15,2,2,4,0,99,57,42,21,15,5,8,5,2580,6,2390
2342,2003-540,Wimbledon,Grass,128,G,20030623,126,102882,,,Mark Philippoussis,R,196,AUS,26.6,103206,13,,Sebastien Grosjean,R,175,FRA,25,7-6(3) 6-3 6-3,5,SF,116,11,3,85,47,42,24,15,2,2,5,3,89,47,35,24,15,5,8,48,735,14,1500
2343,2003-540,Wimbledon,Grass,128,G,20030623,127,103819,4,,Roger Federer,R,185,SUI,21.8,102882,,,Mark Philippoussis,R,196,AUS,26.6,7-6(5) 6-2 7-6(3),5,F,116,21,2,93,53,47,27,16,0,0,14,4,102,70,54,14,16,3,5,5,2580,48,735
2326,2004-540,Wimbledon,Grass,128,G,20040621,125,103819,1,,Roger Federer,R,185,SUI,22.8,103206,10,,Sebastien Grosjean,R,175,FRA,26,6-2 6-3 7-6(6),5,SF,120,6,3,91,54,41,20,14,1,2,2,2,106,62,39,17,15,6,11,1,5610,13,1665
2327,2004-540,Wimbledon,Grass,128,G,20040621,126,104053,2,,Andy Roddick,R,188,USA,21.8,104339,,,Mario Ancic,R,196,CRO,20.2,6-4 4-6 7-5 7-5,5,SF,171,11,8,145,79,63,33,22,9,11,12,6,140,85,62,28,22,8,12,2,4695,63,626
2328,2004-540,Wimbledon,Grass,128,G,20040621,127,103819,1,,Roger Federer,R,185,SUI,22.8,104053,2,,Andy Roddick,R,188,USA,21.8,4-6 7-5 7-6(3) 6-4,5,F,151,12,3,154,95,64,34,22,10,14,11,5,133,81,60,21,22,5,10,1,5610,2,4695
2358,2005-540,Wimbledon,Grass,128,G,20050620,125,103819,1,,Roger Federer,R,185,SUI,23.8,103720,3,,Lleyton Hewitt,R,180,AUS,24.3,6-3 6-4 7-6(4),5,SF,128,10,3,94,49,42,26,16,0,1,5,4,102,47,35,31,15,5,8,1,6980,2,3640
